name,a,b,c,alpha,beta,gamma
2011668,14.461825382575999,9.616213675202086,4.8826719942387,93.28276528947423,95.99616238108325,91.93811996492404
2001877,11.272856498960476,8.554179849137267,7.433099911637399,97.86335602647081,99.0511199674172,97.1673659629749
7208267,16.201382504308118,11.36770707562008,4.138434435002512,89.09760698706512,96.14228984777913,88.30091768407517
2105651,10.487994235407191,9.03303980073658,7.420063228960275,94.3463537410734,93.7769103640454,88.91467592947924
7225635,17.956521961124558,8.85420167695341,4.693791822241859,94.58893457069962,93.3431372682984,94.59240567986774
1518437,14.81627842917871,10.224761397207073,4.719409290123077,91.65882840763803,97.22944065337015,92.078586603832
4510568,15.968364652803276,10.69476802610952,3.7943208774716592,89.10838616103389,95.30630872238565,88.60173327857163
7102200,13.477618517026196,11.052671216511637,5.502196920401658,93.33233574445313,93.16998638466698,95.08213960782781
4028550,8.688878270496346,8.326612280145431,7.561156104395869,94.82471602995518,92.7650996438675,90.8159297726175
2216959,12.916884101897654,11.910953242417305,7.269269935607179,94.7401786290252,97.06773609985203,90.65888812839806
4506396,14.036305139038399,10.819964280235371,5.086447961525885,93.08321193419384,92.86572738394018,92.24138685254518
7225634,17.919999108573915,8.942684183390032,4.628178595567932,95.34715202577023,93.36986470297619,94.36295912468346
7106432,16.31041906463895,12.021698762047672,4.08250491270347,88.15051008599562,95.10768111010267,88.63710092389003
2105109,9.090238481912696,8.234720191431226,5.451519854759597,92.80233344636781,91.10627142543302,90.39291211076558
2227385,12.942006152309338,9.785243390983577,4.789857038675652,94.97857577818013,94.28199224067596,91.70514921508932
2224125,13.927223319739033,8.083366522807598,6.119159088113275,94.14887300022475,96.25377761671618,96.37458072380562
2218955,12.941849962325671,11.00339750749284,6.50551879326551,92.75005533336805,93.71251312295591,94.6569089421797
2209341,13.280366800541863,10.832878152801909,5.910606691584037,93.1444655533516,92.36393857333805,101.84900035504592
9011123,10.215493097927501,8.163770264079531,3.952584063205103,93.52930842937782,94.04005449867101,84.75326619042966
1501839,13.554637296602221,10.410719216156377,5.585719398875726,94.10028596641888,96.53644248870846,93.01016065627225
4113573,12.233305135335169,10.925184191657825,3.9946246345629994,88.9599711840199,88.87071297655335,89.43130652339458
2004200,13.64724512745722,8.181220091257718,7.64182781505452,94.31767499494556,96.13624469360485,93.9711814950429
2019679,19.022106672296093,8.031163219042595,5.7509809561334375,96.0620497103323,95.52871839879789,96.15925034600285
4076329,10.8679466191301,8.66581084048947,8.148531295352683,100.98217402948916,100.98017600960242,97.43744435319033
4332577,8.949589931801874,7.453278516750342,6.706847446733264,90.55940456358854,90.16918064417618,89.13485233247403
2237445,10.430093694418995,10.217771051229384,7.427085637171545,102.91449677714493,98.29570911863551,105.23148934399897
7150031,11.694292183707207,7.265137170886518,6.143679972178105,91.17752558806109,94.37316477910885,92.65133368824625
