cif,size,sgnum,assessed_100,actual_100,assessed_010,actual_010,assessed_001,actual_001,assessed_110,actual_110,assessed_101,actual_101,assessed_011,actual_011,mean_rmse
2001877,100,2,10.9539,11.0082,8.4654,8.5514,7.4182,7.3355,6.2343,6.1321,5.672,5.631,5.1743,5.2358,0.0743
2001877,250,2,11.0923,11.0082,8.4549,8.5514,7.3274,7.3355,6.2505,6.1321,5.6336,5.631,5.1243,5.2358,0.0846
7208267,250,14,16.1895,16.1049,11.5005,11.5197,4.0483,3.9784,9.5239,9.3695,3.8337,3.8623,3.8606,3.7551,0.0897
2011668,macro,14,14.3948,14.3595,9.6455,9.6408,4.8496,4.9161,7.8674,8.0041,4.4541,4.3886,4.2296,4.3796,0.0924
2001877,macro,2,11.1118,11.0082,8.4841,8.5514,7.3035,7.3355,6.2951,6.1321,5.6528,5.631,5.1367,5.2358,0.0941
7208267,macro,14,16.0962,16.1049,11.4304,11.5197,4.1147,3.9784,9.4631,9.3695,3.8859,3.8623,3.8956,3.7551,0.0963
1518437,50,19,14.8937,14.808,10.2846,10.11,4.684,4.5801,8.3013,8.3496,4.3275,4.3756,4.2216,4.172,0.0964
2001877,50,2,11.062,11.0082,8.5618,8.5514,7.4234,7.3355,6.3198,6.1321,5.7335,5.631,5.2369,5.2358,0.097
2105651,250,19,10.4823,10.507,9.0603,9.097,7.4004,7.275,6.8908,6.8774,5.8614,5.9812,5.5245,5.6816,0.0974
2011668,250,14,14.4547,14.3595,9.6251,9.6408,4.8393,4.9161,7.8788,8.0041,4.4514,4.3886,4.2266,4.3796,0.0986
2105651,macro,19,10.4944,10.507,9.0258,9.097,7.3846,7.275,6.8912,6.8774,5.863,5.9812,5.5165,5.6816,0.0989
4500431,100,2,12.0924,12.0376,6.7775,6.7117,4.9571,4.8796,5.8606,5.8214,4.3573,4.2904,3.8368,3.6386,0.0989
4500431,50,2,12.0653,12.0376,6.8074,6.7117,4.9432,4.8796,5.8597,5.8214,4.3456,4.2904,3.8451,3.6386,0.1009
7150031,50,4,11.6233,11.4514,7.5466,7.5367,6.1754,6.0,6.1972,6.2306,5.3213,5.3147,4.7321,4.6941,0.1025
7225635,macro,2,17.9183,17.948,8.8088,8.8058,4.6838,4.6655,7.6502,7.404,4.4606,4.3921,3.9963,3.9609,0.1063
2011668,100,14,14.4062,14.3595,9.5687,9.6408,4.8427,4.9161,7.8368,8.0041,4.437,4.3886,4.2185,4.3796,0.1073
1518437,macro,19,14.6927,14.808,10.294,10.11,4.6823,4.5801,8.2744,8.3496,4.3056,4.3756,4.2084,4.172,0.1076
4500431,250,2,12.0802,12.0376,6.7859,6.7117,4.9732,4.8796,5.8702,5.8214,4.3737,4.2904,3.851,3.6386,0.1084
4505234,50,2,9.5247,9.4898,8.4268,8.5628,7.1034,7.0441,7.2552,7.2758,6.2243,6.4158,6.1631,6.0466,0.111
1518437,100,19,14.76,14.808,10.3572,10.11,4.647,4.5801,8.305,8.3496,4.2947,4.3756,4.1994,4.172,0.1134
2105651,100,19,10.5034,10.507,9.016,9.097,7.3405,7.275,6.8625,6.8774,5.8195,5.9812,5.4797,5.6816,0.114
2006979,50,2,11.7704,11.7398,8.4013,8.1839,6.3543,6.2292,6.6281,6.6336,5.4433,5.3229,4.9066,4.9285,0.1147
1518437,250,19,14.722,14.808,10.3463,10.11,4.666,4.5801,8.3031,8.3496,4.3019,4.3756,4.2056,4.172,0.115
4506396,50,2,14.1408,13.9895,11.0761,10.9939,4.9948,4.9508,8.4572,8.3527,4.6547,4.5979,4.4957,4.3095,0.1158
4510568,macro,14,15.8907,15.875,10.7394,10.562,3.7775,3.814,9.008,8.7936,3.5997,3.6562,3.5836,3.5873,0.1171
7102200,macro,2,13.4225,13.3218,11.0039,11.1321,5.5044,5.375,8.1486,8.0405,4.9869,4.8263,4.8019,4.7585,0.1174
7225635,250,2,18.0016,17.948,8.8419,8.8058,4.6417,4.6655,7.6895,7.404,4.4326,4.3921,3.9717,3.9609,0.1211
7208267,100,14,16.3127,16.1049,11.5124,11.5197,4.0009,3.9784,9.5556,9.3695,3.7974,3.8623,3.8339,3.7551,0.1217
2019679,250,62,19.0159,19.0042,7.8329,7.6371,5.7846,5.6776,6.9712,7.0863,5.3762,5.44,4.4071,4.5564,0.1222
2216959,250,14,12.8888,12.836,12.0105,11.915,7.1439,6.926,8.6984,8.7243,5.9353,6.0953,5.9177,5.9879,0.1229
2227385,50,4,13.0339,12.9287,9.9031,10.0575,4.7559,4.7469,7.7557,7.5837,4.3705,4.456,4.1518,4.2928,0.1237
1501963,50,1,9.2829,9.4648,8.6125,8.6087,7.9189,8.0963,5.8976,5.9451,5.644,5.589,5.373,5.5211,0.1237
4028550,macro,4,8.7082,8.7343,8.3054,8.4007,7.5258,7.6881,5.9554,6.0547,5.5588,5.7709,5.3549,5.3145,0.1242
2216959,macro,14,12.8596,12.836,11.9582,11.915,7.1886,6.926,8.6619,8.7243,5.9655,6.0953,5.9412,5.9879,0.1254
8102758,50,14,15.8955,15.9338,10.2882,10.2,5.333,5.5128,8.456,8.5906,4.935,4.905,4.6649,4.8498,0.1257
4510568,250,14,15.9472,15.875,10.7233,10.562,3.737,3.814,9.0151,8.7936,3.5685,3.6562,3.5564,3.5873,0.1258
7214416,50,2,20.2003,20.0186,6.6655,6.7814,4.8646,4.9294,6.1815,6.3178,4.6504,4.7731,3.848,3.7386,0.1267
7211113,50,2,13.0474,13.2945,8.3703,8.4183,5.3216,5.317,6.8134,6.6452,4.7296,4.8022,4.2884,4.2911,0.1271
2103894,100,2,12.5944,12.5245,8.711,8.7428,5.098,5.1567,7.0905,7.2146,4.5769,4.7919,4.2897,4.4545,0.1278
4506396,macro,2,14.0267,13.9895,10.8083,10.9939,5.076,4.9508,8.3926,8.3527,4.6951,4.5979,4.4987,4.3095,0.128
4028550,250,4,8.6903,8.7343,8.2981,8.4007,7.5321,7.6881,5.9402,6.0547,5.549,5.7709,5.3459,5.3145,0.1292
7150031,100,4,11.6011,11.4514,7.3757,7.5367,6.1858,6.0,6.0977,6.2306,5.3173,5.3147,4.705,4.6941,0.1295
2105109,250,19,9.0456,8.868,8.1765,8.396,5.4826,5.514,6.098,6.0969,4.6546,4.6826,4.4607,4.6089,0.1313
7225634,macro,2,17.9066,18.0531,8.8891,8.8419,4.6112,4.6825,7.7125,7.4409,4.3952,4.4143,3.9377,3.9713,0.1317
7106432,macro,19,16.2413,16.426,12.064,11.966,4.0645,4.1632,9.8118,9.6718,3.8609,4.0356,3.8928,3.932,0.1324
